Wall time,Step,Value
1727270467.3930125,24,-0.0052968463860452175
1727270467.713139,48,-0.009920635260641575
1727270468.0301387,72,-0.009056702256202698
1727270468.3526142,96,-0.008817425929009914
1727270468.6730413,120,-0.008632742799818516
1727270468.9944677,144,-0.008331511169672012
1727270469.31641,168,-0.008038247935473919
1727270469.636861,192,-0.007779628038406372
1727270469.955846,216,-0.007504068780690432
1727270470.2817748,240,-0.007240375503897667
1727270470.5990756,264,-0.007047888357192278
1727270470.9178102,288,-0.006967131048440933
1727270471.2377253,312,-0.006962142419070005
1727270471.5582943,336,-0.007026230916380882
1727270471.8803902,360,-0.00704618776217103
1727270472.2016127,384,-0.007078798022121191
1727270472.52037,408,-0.007072365377098322
1727270472.839257,432,-0.007005459628999233
1727270473.1637027,456,-0.006922045256942511
1727270473.4834394,480,-0.006903642322868109
1727270473.802383,504,-0.006928878370672464
1727270474.1225896,528,-0.006997017655521631
1727270474.4418082,552,-0.007037508301436901
1727270474.7623816,576,-0.0070561813190579414
1727270475.0810363,600,-0.007143821567296982
1727270475.4009922,624,-0.0072567095048725605
1727270475.7180848,648,-0.007370990701019764
1727270476.0369534,672,-0.007499556057155132
1727270476.3561747,696,-0.007623031735420227
1727270476.6778474,720,-0.007880235090851784
1727270476.9976056,744,-0.008217009715735912
1727270477.3169084,768,-0.008565539494156837
1727270477.6307414,792,-0.008982105180621147
1727270477.9487526,816,-0.009483925066888332
1727270478.2761507,840,-0.010443434119224548
1727270478.6070356,864,-0.011555911973118782
1727270478.9243436,888,-0.012974053621292114
1727270479.2455502,912,-0.0146591542288661
1727270479.5677106,936,-0.016832951456308365
1727270479.8947759,960,-0.01911233551800251
1727270480.2210968,984,-0.020633332431316376
1727270480.5411162,1008,-0.022811608389019966
1727270480.8660007,1032,-0.024250932037830353
1727270481.1937325,1056,-0.026703206822276115
1727270481.5148678,1080,-0.028209399431943893
1727270481.8432002,1104,-0.02806488610804081
1727270482.1649125,1128,-0.027926204726099968
1727270482.4833782,1152,-0.030331632122397423
1727270482.804575,1176,-0.03399404510855675
1727270483.1343715,1200,-0.03628196194767952
1727270483.455307,1224,-0.037429329007864
1727270483.783809,1248,-0.037522610276937485
1727270484.1090655,1272,-0.03774527832865715
1727270484.4331799,1296,-0.037810809910297394
1727270484.7557719,1320,-0.0439910851418972
1727270485.0850782,1344,-0.043093182146549225
1727270485.4171176,1368,-0.04404323920607567
1727270485.7504678,1392,-0.043261364102363586
1727270486.083024,1416,-0.042198918759822845
1727270486.419276,1440,-0.045588865876197815
1727270486.7426672,1464,-0.04463786631822586
1727270487.0747495,1488,-0.04464991018176079
1727270487.408724,1512,-0.062048520892858505
1727270487.725441,1536,-0.044531162828207016
1727270488.0421174,1560,-0.08739806711673737
1727270488.352419,1584,-0.09978808462619781
1727270488.658591,1608,-0.06497129052877426
1727270488.9608443,1632,-0.27132394909858704
1727270489.2738824,1656,-0.3730957508087158
1727270489.5952494,1680,-0.42273586988449097
1727270489.9143002,1704,-0.3618043065071106
1727270490.2396662,1728,-0.3507903218269348
1727270490.5654902,1752,-0.3530541956424713
1727270490.8906615,1776,-0.39833077788352966
1727270491.2201958,1800,-0.4378216862678528
1727270491.5427008,1824,-0.36288806796073914
1727270491.866641,1848,-0.37602993845939636
1727270492.1942182,1872,-0.3752196729183197
1727270492.5238426,1896,-0.3566361963748932
1727270492.8612309,1920,-0.3488968312740326
1727270493.1941297,1944,-0.38005122542381287
1727270493.5238492,1968,-0.444039523601532
1727270493.850786,1992,-0.29350247979164124
1727270494.1903043,2016,-0.34434741735458374
1727270494.506482,2040,-0.5152916312217712
1727270494.82051,2064,-0.4057825207710266
1727270495.1325238,2088,-0.7060269713401794
1727270495.4395716,2112,-0.41147667169570923
1727270495.7505386,2136,-0.4455350637435913
1727270496.067027,2160,-0.4847255051136017
1727270496.3744812,2184,-0.19004011154174805
1727270496.6868024,2208,-0.35398560762405396
1727270497.013282,2232,-0.4552164375782013
1727270497.3289878,2256,-0.4227840006351471
1727270497.6682508,2280,-0.3992636203765869
1727270497.9939113,2304,-0.32515081763267517
1727270498.326059,2328,-0.3447394371032715
1727270498.6575835,2352,-0.3731818199157715
1727270498.9950264,2376,-0.38178929686546326
1727270499.3347707,2400,-0.3569318950176239
1727270499.666603,2424,-0.40738406777381897
1727270499.9996052,2448,-0.3376607596874237
1727270500.3290484,2472,-0.3456306457519531
1727270500.6649585,2496,-0.4419853091239929
1727270500.9902124,2520,-0.6049238443374634
1727270501.3090262,2544,-0.29087233543395996
1727270501.625316,2568,-0.15557855367660522
1727270501.9370573,2592,-0.02249005064368248
1727270502.25128,2616,-0.44774049520492554
1727270502.5710917,2640,-1.3907718658447266
1727270502.8946884,2664,-0.5003297924995422
1727270503.2299929,2688,-0.4000189006328583
1727270503.5575047,2712,-0.4623691737651825
1727270503.8863552,2736,-0.4376150369644165
1727270504.2186213,2760,-0.4549676775932312
1727270504.5422208,2784,-0.33475765585899353
1727270504.874174,2808,-0.3712161183357239
1727270505.2060773,2832,-0.406932532787323
1727270505.5401926,2856,-0.33738717436790466
1727270505.8777652,2880,-0.4081498682498932
1727270506.2137635,2904,-0.3503795564174652
1727270506.5489938,2928,-0.39177775382995605
1727270506.8810675,2952,-0.3301442861557007
1727270507.2170494,2976,-0.42656439542770386
1727270507.548908,3000,-0.34984105825424194
