Wall time,Step,Value
1727268997.6795785,24,-0.010531538166105747
1727268997.995944,48,-0.017376182600855827
1727268998.3159423,72,-0.016322094947099686
1727268998.6344266,96,-0.016209956258535385
1727268998.9494274,120,-0.015808086842298508
1727268999.2689557,144,-0.015398416668176651
1727268999.5823882,168,-0.015185327269136906
1727268999.9005167,192,-0.014922656118869781
1727269000.2177224,216,-0.01476818323135376
1727269000.5424714,240,-0.014739721082150936
1727269000.8636832,264,-0.014748101122677326
1727269001.1818733,288,-0.014585288241505623
1727269001.4947023,312,-0.014075525104999542
1727269001.8117013,336,-0.013647699728608131
1727269002.1289856,360,-0.013377223163843155
1727269002.4448216,384,-0.013387792743742466
1727269002.7662077,408,-0.013373523019254208
1727269003.081441,432,-0.013352788053452969
1727269003.3995154,456,-0.013436912558972836
1727269003.7176704,480,-0.013529745861887932
1727269004.037544,504,-0.013612481765449047
1727269004.3599613,528,-0.013643065467476845
1727269004.678155,552,-0.013650882057845592
1727269004.9997728,576,-0.013587229885160923
1727269005.3176205,600,-0.013653470203280449
1727269005.6354725,624,-0.013680515810847282
1727269005.9540188,648,-0.013700864277780056
1727269006.2728322,672,-0.013762690126895905
1727269006.5906746,696,-0.013828931376338005
1727269006.9103656,720,-0.013883923180401325
1727269007.2268672,744,-0.013911059126257896
1727269007.5415673,768,-0.013969285413622856
1727269007.8576589,792,-0.013977192342281342
1727269008.1730835,816,-0.013995545916259289
1727269008.4909222,840,-0.013989945873618126
1727269008.8080502,864,-0.014079769141972065
1727269009.1226685,888,-0.014155102893710136
1727269009.441132,912,-0.014262831769883633
1727269009.7640688,936,-0.014387451112270355
1727269010.0856616,960,-0.014501442201435566
1727269010.3992515,984,-0.014670056290924549
1727269010.7162535,1008,-0.014953035861253738
1727269011.0306425,1032,-0.015169715508818626
1727269011.3456895,1056,-0.015388185158371925
1727269011.661226,1080,-0.01573329232633114
1727269011.9730735,1104,-0.015955399721860886
1727269012.2901714,1128,-0.01661718636751175
1727269012.6033716,1152,-0.017127234488725662
1727269012.9169414,1176,-0.017458029091358185
1727269013.2376413,1200,-0.017954211682081223
1727269013.5538814,1224,-0.01856144703924656
1727269013.8650908,1248,-0.018862636759877205
1727269014.179715,1272,-0.019143743440508842
1727269014.4956772,1296,-0.02001083455979824
1727269014.8096187,1320,-0.0203477181494236
1727269015.121478,1344,-0.02103038690984249
1727269015.4350014,1368,-0.021249765530228615
1727269015.7480395,1392,-0.022069066762924194
1727269016.060472,1416,-0.023515691980719566
1727269016.3802016,1440,-0.024408914148807526
1727269016.6951027,1464,-0.026094689965248108
1727269017.0084014,1488,-0.027324270457029343
1727269017.3226836,1512,-0.028716592118144035
1727269017.6384418,1536,-0.03134285286068916
1727269017.9498582,1560,-0.03564224764704704
1727269018.266154,1584,-0.037859681993722916
1727269018.5776372,1608,-0.038059789687395096
1727269018.8856232,1632,-0.03767739236354828
1727269019.2018795,1656,-0.043237097561359406
1727269019.5243225,1680,-0.050871189683675766
1727269019.8449972,1704,-0.06343386322259903
1727269020.1737623,1728,-0.06641994416713715
1727269020.4924603,1752,-0.0685395672917366
1727269020.8276358,1776,-0.07728900015354156
1727269021.1547022,1800,-0.08117298036813736
1727269021.4773476,1824,-0.09278398007154465
1727269021.8088365,1848,-0.09725529700517654
1727269022.1445074,1872,-0.10377858579158783
1727269022.4745212,1896,-0.09902146458625793
1727269022.8227713,1920,-0.11392424255609512
1727269023.162988,1944,-0.10629348456859589
1727269023.532985,1968,-0.1365925371646881
1727269023.8560011,1992,-0.15091703832149506
1727269024.1668937,2016,-0.17653538286685944
1727269024.4798734,2040,-0.6249644756317139
1727269024.78955,2064,-1.3307899236679077
1727269025.0918245,2088,-1.6839473247528076
1727269025.3930361,2112,-1.7167651653289795
1727269025.704987,2136,-1.8129032850265503
1727269026.027069,2160,-1.4427191019058228
1727269026.3409598,2184,-1.5886178016662598
1727269026.6601963,2208,-1.4957116842269897
1727269026.968653,2232,-1.081488847732544
1727269027.2977378,2256,-0.8534322381019592
1727269027.637844,2280,-0.7952178716659546
1727269027.9660904,2304,-0.6670013070106506
1727269028.3076077,2328,-0.6964095830917358
1727269028.6336472,2352,-0.7406497597694397
1727269028.9607875,2376,-0.7160305976867676
1727269029.2849474,2400,-0.7346999049186707
1727269029.6195326,2424,-0.7980407476425171
1727269029.9475121,2448,-0.7173351645469666
1727269030.2762601,2472,-0.8504584431648254
1727269030.592679,2496,-0.3600550889968872
1727269030.890194,2520,-0.17528164386749268
1727269031.1905434,2544,-0.17288534343242645
1727269031.4823952,2568,-0.06220219284296036
1727269031.780945,2592,-0.16264718770980835
1727269032.0737734,2616,-0.3698368966579437
1727269032.386038,2640,-0.7932007312774658
1727269032.706194,2664,-1.0683479309082031
1727269033.0211477,2688,-0.7594521045684814
1727269033.3334763,2712,-0.6637358665466309
1727269033.6535223,2736,-0.7267579436302185
1727269033.9694452,2760,-0.6940780878067017
1727269034.3024468,2784,-0.8220024108886719
1727269034.6426342,2808,-0.7483477592468262
1727269034.983841,2832,-0.7231846451759338
1727269035.3128526,2856,-0.7772588729858398
1727269035.6481502,2880,-0.712751030921936
1727269036.0000176,2904,-0.6823526620864868
1727269036.3293593,2928,-0.7981476187705994
1727269036.6636264,2952,-0.6719098687171936
1727269036.9835784,2976,-0.6750532984733582
1727269037.2952769,3000,-0.48790228366851807
1727269037.5992455,3024,-0.10291162133216858
1727269037.908885,3048,-0.5408188700675964
1727269038.2137113,3072,-0.06179732456803322
1727269038.5339656,3096,-1.6548773050308228
1727269038.852739,3120,-0.9334144592285156
1727269039.1734242,3144,-1.1015700101852417
1727269039.5164573,3168,-0.5393396019935608
1727269039.8482156,3192,-0.7169327735900879
1727269040.172579,3216,-0.6540959477424622
1727269040.50091,3240,-0.7064145803451538
1727269040.831967,3264,-0.7627285122871399
1727269041.1609364,3288,-0.8532190322875977
1727269041.4945574,3312,-0.8735863566398621
1727269041.833956,3336,-0.7647538781166077
1727269042.163875,3360,-0.8237276077270508
1727269042.4995055,3384,-0.7530194520950317
1727269042.8290503,3408,-0.5925779342651367
1727269043.1569836,3432,-1.0765708684921265
1727269043.4895387,3456,-0.8575459718704224
1727269043.8186724,3480,-0.7964857220649719
1727269044.1387455,3504,-1.135867953300476
1727269044.4538248,3528,-0.41347524523735046
1727269044.765954,3552,-0.5297410488128662
1727269045.0752776,3576,-0.05323018133640289
1727269045.3896642,3600,-0.31031298637390137
1727269045.6994102,3624,-0.49916133284568787
1727269046.0113149,3648,-0.6372469067573547
1727269046.3246083,3672,-0.5862248539924622
1727269046.6424663,3696,-0.5446041822433472
1727269046.9619071,3720,-0.6765971183776855
1727269047.2880452,3744,-0.7680422067642212
1727269047.617931,3768,-0.750554621219635
1727269047.9424994,3792,-0.7359449863433838
1727269048.271966,3816,-0.7647179961204529
1727269048.6063843,3840,-0.7520627975463867
1727269048.9368944,3864,-0.7413223385810852
1727269049.2683585,3888,-0.8197113275527954
1727269049.5975683,3912,-0.9642423391342163
1727269049.9346988,3936,-0.8394847512245178
1727269050.258186,3960,-0.6643315553665161
1727269050.5745533,3984,-0.7774626016616821
1727269050.8930755,4008,-0.5604904294013977
1727269051.1973135,4032,-0.8765061497688293
1727269051.5007346,4056,-1.1466362476348877
1727269051.8052719,4080,-0.4566064178943634
1727269052.1053452,4104,-0.9972869753837585
1727269052.4101214,4128,-0.4227558672428131
1727269052.7244167,4152,-0.6239204406738281
1727269053.0358827,4176,-1.256732702255249
1727269053.3431823,4200,-0.8866327404975891
1727269053.6529686,4224,-0.7207075953483582
1727269053.9655793,4248,-0.7261062264442444
1727269054.2929118,4272,-0.7258486747741699
1727269054.6190333,4296,-0.7994345426559448
1727269054.9509597,4320,-0.7475537657737732
1727269055.2837074,4344,-0.8962498307228088
1727269055.6093452,4368,-0.7919368147850037
1727269055.9330459,4392,-0.8549501895904541
1727269056.2607481,4416,-0.6381929516792297
1727269056.588011,4440,-0.869910478591919
1727269056.9038818,4464,-0.7507621645927429
1727269057.2281537,4488,-0.6199383735656738
1727269057.5294726,4512,-1.180663824081421
1727269057.846563,4536,-0.08889149874448776
1727269058.1602387,4560,-0.17401152849197388
1727269058.4696639,4584,-1.0158963203430176
1727269058.7799728,4608,-1.078142762184143
1727269059.093906,4632,-0.8733721971511841
1727269059.4132605,4656,-0.488363116979599
1727269059.7297843,4680,-0.7296284437179565
1727269060.054763,4704,-0.7384669780731201
1727269060.3796403,4728,-0.7572006583213806
1727269060.697067,4752,-0.7091837525367737
1727269061.0211456,4776,-0.7285515069961548
1727269061.3523335,4800,-0.8143481016159058
