Wall time,Step,Value
1727269077.3422267,24,-0.010685748420655727
1727269077.6640754,48,-0.016997337341308594
1727269077.9829104,72,-0.01612088456749916
1727269078.3024125,96,-0.01618795283138752
1727269078.6184995,120,-0.01586189493536949
1727269078.938468,144,-0.015387944877147675
1727269079.2573328,168,-0.015038138255476952
1727269079.5770633,192,-0.014592013321816921
1727269079.9002235,216,-0.014113013632595539
1727269080.2278404,240,-0.013853931799530983
1727269080.5464785,264,-0.013672969304025173
1727269080.8742974,288,-0.013497588224709034
1727269081.1929471,312,-0.013535181060433388
1727269081.5091999,336,-0.013588668778538704
1727269081.8307536,360,-0.013717339374125004
1727269082.147104,384,-0.013868837617337704
1727269082.4632258,408,-0.013924197293817997
1727269082.7830765,432,-0.013804825954139233
1727269083.1022873,456,-0.01373390480875969
1727269083.4249609,480,-0.013577534817159176
1727269083.7460837,504,-0.013521806336939335
1727269084.064214,528,-0.013492796570062637
1727269084.381845,552,-0.013457044027745724
1727269084.70413,576,-0.013509517535567284
1727269085.0380359,600,-0.013569248840212822
1727269085.3672292,624,-0.01359548605978489
1727269085.7342987,648,-0.013612261973321438
1727269086.0657191,672,-0.013610484078526497
1727269086.385656,696,-0.013688132166862488
1727269086.7068424,720,-0.013686371967196465
1727269087.028128,744,-0.013716675341129303
1727269087.3536775,768,-0.013726424425840378
1727269087.6814337,792,-0.013765361160039902
1727269088.0075512,816,-0.013837916776537895
1727269088.330184,840,-0.01394015084952116
1727269088.654583,864,-0.014135359786450863
1727269088.9755545,888,-0.014326244592666626
1727269089.2890549,912,-0.014567267149686813
1727269089.6068237,936,-0.01474272832274437
1727269089.9273353,960,-0.014977483078837395
1727269090.2507405,984,-0.01535662543028593
1727269090.5689032,1008,-0.01569930650293827
1727269090.8896065,1032,-0.015801094472408295
1727269091.2169223,1056,-0.01622955873608589
1727269091.5404367,1080,-0.01680872216820717
1727269091.866112,1104,-0.017556121572852135
1727269092.1815183,1128,-0.018122598528862
1727269092.495733,1152,-0.018704308196902275
1727269092.8074682,1176,-0.019883792847394943
1727269093.1278949,1200,-0.021221142262220383
1727269093.45069,1224,-0.02250862680375576
1727269093.7671778,1248,-0.024173272773623466
1727269094.085047,1272,-0.026628023013472557
1727269094.39656,1296,-0.02835828810930252
1727269094.7223892,1320,-0.03139912337064743
1727269095.0370204,1344,-0.033766042441129684
1727269095.3463314,1368,-0.03676750883460045
1727269095.6547358,1392,-0.043056126683950424
1727269095.9761565,1416,-0.04923504963517189
1727269096.3005116,1440,-0.05477071925997734
1727269096.6190073,1464,-0.06239580735564232
1727269096.9389892,1488,-0.06795540452003479
1727269097.255645,1512,-0.06803775578737259
1727269097.5777042,1536,-0.07096832990646362
1727269097.8993552,1560,-0.06964606791734695
1727269098.2186885,1584,-0.06479661166667938
1727269098.5424607,1608,-0.06514442712068558
1727269098.8638806,1632,-0.07117213308811188
1727269099.190649,1656,-0.06901560723781586
1727269099.5232556,1680,-0.07731764018535614
1727269099.849062,1704,-0.0738721489906311
1727269100.1690478,1728,-0.06783920526504517
1727269100.4887004,1752,-0.07753963768482208
1727269100.8100483,1776,-0.07037105411291122
1727269101.1376421,1800,-0.07920346409082413
1727269101.4743161,1824,-0.08319023996591568
1727269101.8045394,1848,-0.08851753175258636
1727269102.1274815,1872,-0.09451055526733398
1727269102.446505,1896,-0.08648229390382767
1727269102.768478,1920,-0.09505365043878555
1727269103.0838358,1944,-0.10273975133895874
1727269103.418136,1968,-0.10450219362974167
1727269103.7524893,1992,-0.09509233385324478
1727269104.0865273,2016,-0.12306899577379227
1727269104.4197812,2040,-0.1113971695303917
1727269104.7474186,2064,-0.10517450422048569
1727269105.065348,2088,-0.11644753813743591
1727269105.39695,2112,-0.098476342856884
1727269105.733116,2136,-0.11309929192066193
1727269106.0719573,2160,-0.15242166817188263
1727269106.4018915,2184,-0.2030021846294403
1727269106.717786,2208,-0.4020676612854004
1727269107.0257092,2232,-0.48767682909965515
1727269107.337561,2256,-0.5983604788780212
1727269107.6553657,2280,-0.6869697570800781
1727269107.9698484,2304,-0.45754706859588623
1727269108.2923293,2328,-0.7107853293418884
1727269108.6198535,2352,-0.7337625622749329
1727269108.9460897,2376,-0.5722352862358093
1727269109.2770908,2400,-0.5950028896331787
1727269109.6067686,2424,-0.6936526298522949
1727269109.9352841,2448,-0.7352811098098755
1727269110.25861,2472,-0.6498638391494751
1727269110.5795412,2496,-0.6592081785202026
1727269110.9036455,2520,-0.6619997620582581
1727269111.228984,2544,-0.6947066783905029
1727269111.5539641,2568,-0.6087941527366638
1727269111.8832822,2592,-0.6035835146903992
1727269112.2072852,2616,-0.8304873108863831
1727269112.5364516,2640,-0.7044656276702881
1727269112.8625822,2664,-0.7670722007751465
1727269113.1845732,2688,-0.8581357598304749
1727269113.5009296,2712,-0.7857269048690796
1727269113.8171165,2736,-1.5734716653823853
1727269114.1311262,2760,-1.1452854871749878
1727269114.448439,2784,-1.2890642881393433
1727269114.7694213,2808,-0.6618607044219971
1727269115.096077,2832,-0.9216398596763611
1727269115.4260373,2856,-0.7518736720085144
1727269115.7639368,2880,-0.925757110118866
1727269116.0925775,2904,-0.8664407730102539
1727269116.4047117,2928,-0.8426770567893982
1727269116.7237158,2952,-0.6568638682365417
1727269117.0460982,2976,-0.7821123600006104
1727269117.3698463,3000,-0.7113912105560303
1727269117.6941879,3024,-0.6553449630737305
1727269118.0291579,3048,-0.6121256947517395
1727269118.362048,3072,-0.659268319606781
1727269118.7025607,3096,-0.7158752679824829
1727269119.037023,3120,-0.7347279787063599
1727269119.3756711,3144,-0.6855119466781616
1727269119.700932,3168,-0.41828450560569763
1727269120.0282857,3192,-1.3854023218154907
1727269120.346798,3216,-0.484287291765213
1727269120.6559548,3240,-1.0132578611373901
1727269120.9690206,3264,-0.6284331679344177
1727269121.2837021,3288,-1.0934021472930908
1727269121.595946,3312,-0.5078819394111633
1727269121.9098663,3336,-0.5294221043586731
1727269122.2370489,3360,-0.43547067046165466
1727269122.570092,3384,-0.6684101819992065
1727269122.8976212,3408,-0.6771201491355896
1727269123.2224734,3432,-0.7006843090057373
1727269123.5447752,3456,-0.6688670516014099
1727269123.8657463,3480,-0.6343240737915039
1727269124.19163,3504,-0.605840265750885
1727269124.5129704,3528,-0.6952527761459351
1727269124.8359792,3552,-0.7181352972984314
1727269125.159331,3576,-0.8203569054603577
1727269125.4873867,3600,-0.7593625783920288
1727269125.821505,3624,-0.7313854694366455
1727269126.1586041,3648,-0.6753900647163391
1727269126.489813,3672,-0.4737178385257721
1727269126.8169625,3696,-1.310768485069275
1727269127.1297626,3720,-0.6535158753395081
1727269127.4424481,3744,-0.17892175912857056
1727269127.7672956,3768,-0.6681386232376099
1727269128.093069,3792,-0.5186135768890381
1727269128.4182327,3816,-0.756894052028656
1727269128.7556057,3840,-0.5919440388679504
1727269129.0827668,3864,-0.6705715656280518
1727269129.4073591,3888,-0.724427342414856
1727269129.7470798,3912,-0.6812769770622253
1727269130.0683768,3936,-0.6377122402191162
1727269130.3837254,3960,-0.6820622682571411
1727269130.7046862,3984,-0.9200562834739685
1727269131.0270846,4008,-0.6921332478523254
1727269131.3434584,4032,-0.7326779365539551
1727269131.6637588,4056,-0.6901769042015076
1727269131.985557,4080,-0.7056522965431213
1727269132.3110783,4104,-0.7925591468811035
1727269132.6514719,4128,-0.7420936822891235
1727269132.9820693,4152,-0.9699860215187073
1727269133.319504,4176,-0.9092142581939697
1727269133.6482317,4200,-0.6654253602027893
1727269133.9834943,4224,-0.7393702268600464
1727269134.290822,4248,-0.30133605003356934
1727269134.6095586,4272,-0.9782733917236328
1727269134.9280376,4296,-0.7816076874732971
1727269135.265949,4320,-0.5058995485305786
1727269135.6082914,4344,-0.6284961104393005
1727269135.9850397,4368,-0.8277715444564819
1727269136.3097897,4392,-0.6231938004493713
1727269136.6328151,4416,-0.6260733008384705
1727269136.9512362,4440,-0.6834132075309753
1727269137.2670817,4464,-0.7332178950309753
1727269137.584288,4488,-0.7535640597343445
1727269137.9168696,4512,-0.7797470688819885
1727269138.2621555,4536,-0.7131165862083435
1727269138.6085825,4560,-0.7099770903587341
1727269138.9439206,4584,-0.6852271556854248
1727269139.267305,4608,-0.7680782675743103
1727269139.592132,4632,-0.6950074434280396
1727269139.918065,4656,-0.7127900123596191
1727269140.2359233,4680,-0.6339659094810486
1727269140.5897691,4704,-1.1279125213623047
1727269140.914818,4728,-1.2832868099212646
1727269141.224221,4752,-1.0455117225646973
1727269141.5354793,4776,-0.5043706297874451
1727269141.8537328,4800,-0.6698560118675232
